data,label,CCT_xc_distance,CCT_xc_count5,CCT_xc_count7,CCT_x4_distance,CCT_x4_count5,CCT_x4_count7,r50_xc_distance,r50_xc_count5,r50_xc_count7,r50_xc_xs5,r50_xc_xs3,r50_x4_distance,r50_x4_count5,r50_x4_count7
chest_hosp/train/0/CX-0-0026.jpeg_001,0,0.018131351294137787,2,3,0.5044571864700376,1,1,1.9950622212817006,0,0,0,0,0.22918300388201696,0,0
chest_hosp/train/0/CX-0-0027.jpeg_000,1,0.4965045638694283,1,1,0.11874573825887458,5,7,1.5217012701351784e-05,5,7,5,3,0.0104865539670016,5,7
chest_hosp/train/0/CX-0-0027.jpeg_001,0,2.715762169236413e-05,4,6,0.5059249515084248,0,0,1.9951887202023406,0,0,0,0,0.23212798684362446,0,0
chest_hosp/train/0/CX-0-0028.jpeg_000,1,0.4504572421967581,1,2,0.08719736518961685,5,7,4.7932155449181835e-06,5,7,5,3,0.019922905332619645,5,7
chest_hosp/train/0/CX-0-0028.jpeg_001,0,0.0018934231627688591,4,5,0.5195173116839324,0,0,1.9949486514159254,0,0,0,0,0.24716721854219792,0,0
chest_hosp/train/0/CX-0-0029.jpeg_000,1,0.33775606228532007,1,1,0.20697352111122047,5,7,3.558215444587898e-05,5,7,5,3,0.09675439005865016,5,7
chest_hosp/train/0/CX-0-0029.jpeg_001,0,0.020642809201004808,4,6,0.48799129126239416,0,0,1.9954704934307825,0,0,0,0,0.24774346536853287,0,0
chest_hosp/train/0/CX-0-0030.jpeg_000,1,0.36983063212059597,0,1,0.1790681943038912,5,7,1.5393164096710876e-06,5,7,5,3,0.030396228799786096,5,7
chest_hosp/train/0/CX-0-0030.jpeg_001,0,0.013013052611774989,5,6,0.5627137063706187,0,0,1.9948130799404376,0,0,0,0,0.2261751369997207,0,0
chest_hosp/train/0/CX-0-0031.jpeg_000,1,0.9291019423842164,4,6,0.22215500480901618,5,7,2.290794013370956e-07,5,7,5,3,0.06606489036624785,5,7
chest_hosp/train/0/CX-0-0031.jpeg_001,0,1.8302571949815198,1,1,0.6866620507743766,0,0,1.994562809817204,0,0,0,0,0.24412973360304047,0,0
chest_hosp/train/0/CX-0-0032.jpeg_000,1,1.3259685317271797,4,6,0.2511215759497293,5,7,7.535766469612959e-06,5,7,5,3,0.0418234546667432,5,7
chest_hosp/train/0/CX-0-0032.jpeg_001,0,1.9823362767170312,1,1,0.8643672646196934,0,0,1.995027248023535,0,0,0,0,0.23660856950017317,0,0
chest_hosp/train/0/CX-0-0033.jpeg_000,1,0.4361222842776036,2,2,0.30733670181309936,4,6,9.087134021923404e-07,5,7,5,3,0.08621699790764004,5,7
chest_hosp/train/0/CX-0-0033.jpeg_001,0,0.0031034218407527403,3,5,0.4170359928337326,1,1,1.9947716502767572,0,0,0,0,0.2293216775573481,0,0
chest_hosp/train/0/CX-0-0034.jpeg_000,1,0.4653882400980084,2,2,0.20889376667584103,5,7,2.012202175993849e-07,5,7,5,3,0.04728049303610482,5,7
chest_hosp/train/0/CX-0-0034.jpeg_001,0,0.0009581254795322236,3,5,0.5093044360720502,0,0,1.9946985069523957,0,0,0,0,0.23918147382643917,0,0
chest_hosp/train/0/CX-0-0035.jpeg_000,1,1.3403657872993284,5,6,0.32351493214265703,5,7,4.851481007817071e-06,5,7,5,3,0.015061608979437757,5,7
chest_hosp/train/0/CX-0-0035.jpeg_001,0,1.985079000121155,0,1,0.7847153447678752,0,0,1.9949505346251464,0,0,0,0,0.22809006391487474,0,0
chest_hosp/train/0/CX-0-0036.jpeg_000,1,0.5363176614861487,1,2,0.2674377312869487,4,6,7.946775747225132e-06,5,7,5,3,0.04099309429466569,5,7
chest_hosp/train/0/CX-0-0036.jpeg_001,0,0.0007265915227504527,4,5,0.397761223922366,1,1,1.9950376476020457,0,0,0,0,0.24424083771685612,0,0
chest_hosp/train/0/CX-0-0037.jpeg_000,1,0.18614225922153116,1,2,0.16522027843595555,5,7,7.807137690774013e-07,5,7,5,3,0.01550504027789712,5,7
chest_hosp/train/0/CX-0-0037.jpeg_001,0,0.09123900014698505,4,5,0.5446838092057102,0,0,1.994503006970937,0,0,0,0,0.22950182135312303,0,0
chest_hosp/train/0/CX-0-0038.jpeg_000,1,0.4973208549561584,1,1,0.2235487548286761,5,7,3.903786205405879e-08,5,7,5,3,0.01939996501877994,5,7
chest_hosp/train/0/CX-0-0038.jpeg_001,0,2.0642685810257078e-05,4,6,0.442173306661533,0,0,1.994604121501671,0,0,0,0,0.23939086726508307,0,0
chest_hosp/train/0/CX-0-0039.jpeg_000,1,0.44649889310732005,2,2,0.13920312644120503,5,7,6.503719463868407e-06,5,7,5,3,0.04272524751092022,5,7
chest_hosp/train/0/CX-0-0039.jpeg_001,0,0.002196535926420551,3,5,0.48562568952766627,0,0,1.9949997571276257,0,0,0,0,0.26383726612469227,0,0
chest_hosp/train/0/CX-0-0040.jpeg_000,1,0.31087274912590124,1,2,0.13932261119848788,5,7,1.8599948611308648e-05,5,7,5,3,0.025388395734498248,5,7
chest_hosp/train/0/CX-0-0040.jpeg_001,0,0.028665399323252294,4,5,0.566089551258913,0,0,1.9952456198097543,0,0,0,0,0.23199458615749247,0,0
chest_hosp/train/0/CX-0-0041.jpeg_000,1,1.3270579798786282,5,7,0.15813072650182214,5,7,2.396750600097697e-06,5,7,5,3,0.027978858828020203,5,7
chest_hosp/train/0/CX-0-0041.jpeg_001,0,1.9825513072107919,0,0,0.7815967487246996,0,0,1.994857214063974,0,0,0,0,0.24411709348933108,0,0
chest_hosp/train/0/CX-0-0042.jpeg_000,1,0.49806348422882907,0,1,0.1769734947222037,5,6,6.779120098610036e-08,5,7,5,3,0.010039372056820484,5,7
chest_hosp/train/0/CX-0-0042.jpeg_001,0,1.5493146628187127e-05,5,6,0.3680252856432189,0,1,1.9946711006601432,0,0,0,0,0.23164630579749956,0,0
chest_hosp/train/0/CX-0-0043.jpeg_000,1,0.724052792739267,4,6,0.15947348284383733,5,7,4.45711041097141e-06,5,7,0,0,0.11978529666348647,5,7
chest_hosp/train/0/CX-0-0043.jpeg_001,0,1.696818026342806,1,1,0.6399876557075805,0,0,1.9949375500561664,0,0,5,3,0.2462460895561942,0,0
chest_hosp/train/0/CX-0-0044.jpeg_000,1,1.077196939890604,5,7,0.09527772058552841,5,7,8.490834384478063e-07,5,7,5,3,0.02954445947580453,5,7
chest_hosp/train/0/CX-0-0044.jpeg_001,0,1.9034715081197033,0,0,0.6600086138360328,0,0,1.9944973967135833,0,0,0,0,0.2393407546488563,0,0
chest_hosp/train/0/CX-0-0045.jpeg_000,1,1.1542037256178062,4,6,0.12487632179399355,5,7,5.845535177018135e-07,5,7,5,3,0.01579618929936588,5,7
chest_hosp/train/0/CX-0-0045.jpeg_001,0,1.9339636507481308,1,1,0.7471761665460157,0,0,1.9945206171734227,0,0,0,0,0.23315895484068805,0,0
chest_hosp/train/0/CX-0-0046.jpeg_000,1,0.8183018356283879,3,4,0.17805097746041665,5,7,1.6969275111522464e-05,5,7,5,3,0.040318524476984474,5,7
chest_hosp/train/0/CX-0-0046.jpeg_001,0,1.76291717340434,2,3,0.6365054091381511,0,0,1.994013439601248,0,0,0,0,0.21128019272900156,0,0
chest_hosp/train/0/CX-0-0047.jpeg_000,1,0.4983787128778223,0,0,0.2500062038152824,3,4,3.477229942649984e-06,5,7,5,3,0.09117749365130168,5,7
chest_hosp/train/0/CX-0-0047.jpeg_001,0,1.3530957253427012e-05,5,7,0.2911524329284749,2,3,1.9943567609118893,0,0,0,0,0.2277503964289329,0,0
chest_hosp/train/0/CX-0-0048.jpeg_000,1,0.475620521441696,0,0,0.07166298754230016,5,7,1.1983878595023256e-06,5,7,5,3,0.02192798177025701,5,7
chest_hosp/train/0/CX-0-0048.jpeg_001,0,0.0005029234581851449,5,7,0.5259692511368058,0,0,1.994792058563418,0,0,0,0,0.24129655249860305,0,0
chest_hosp/train/0/CX-0-0049.jpeg_000,1,0.17457052675582319,3,4,0.29899335125909654,5,7,5.485810156891091e-05,5,7,5,3,0.03302664454783488,5,7
chest_hosp/train/0/CX-0-0049.jpeg_001,0,0.09985445570112461,2,3,0.6142160813234481,0,0,1.9934947699988144,0,0,0,0,0.23756313082626046,0,0
chest_hosp/train/0/CX-0-0050.jpeg_000,1,1.3055171415496145,5,7,0.1166348760806476,5,7,5.464944801136795e-07,5,7,5,3,0.019141080992293946,5,7
chest_hosp/train/0/CX-0-0050.jpeg_001,0,1.9780750265647953,0,0,0.7779583188070827,0,0,1.9947406959248353,0,0,0,0,0.23862801742725015,0,0
chest_hosp/train/0/CX-0-0051.jpeg_000,1,1.0017123228223614,5,7,0.07894658244259434,5,7,1.203552560946619e-07,5,7,5,3,0.022812513878781804,5,7
chest_hosp/train/0/CX-0-0051.jpeg_001,0,1.8685350487578631,0,0,0.6942057831220225,0,0,1.9946837132896666,0,0,0,0,0.24175181837499526,0,0
chest_hosp/train/0/CX-0-0052.jpeg_000,1,0.5082657107110606,1,1,0.293732627950855,5,7,2.5213960673786673e-06,5,7,5,3,0.028889096031838868,5,7
chest_hosp/train/0/CX-0-0052.jpeg_001,0,1.9154355274886292e-05,4,6,0.3832143766728553,0,0,1.994862905818017,0,0,0,0,0.23513601511107363,0,0
chest_hosp/train/0/CX-0-0053.jpeg_000,1,0.41540614200086445,0,1,0.16352657241246993,5,7,6.272514261329576e-06,5,7,5,3,0.02845805208790453,5,7
chest_hosp/train/0/CX-0-0053.jpeg_001,0,0.0054145110850680744,5,6,0.5018079265121406,0,0,1.9949932943154134,0,0,0,0,0.2392925788412218,0,0
chest_hosp/train/0/CX-0-0054.jpeg_000,1,0.4822216143162401,0,1,0.30168757175844885,5,7,9.758244781776781e-05,3,5,5,3,0.06510913840900312,5,7
chest_hosp/train/0/CX-0-0054.jpeg_001,0,0.0002875618146949144,5,6,0.4917919965040134,0,0,1.9930906230256504,2,2,0,0,0.2057114406981867,0,0
chest_hosp/train/0/CX-0-0055.jpeg_000,1,1.4168171655286605,5,7,0.2346964252628554,5,7,5.253034839003412e-06,5,7,5,3,0.019985194610278034,5,7
chest_hosp/train/0/CX-0-0055.jpeg_001,0,1.9959231283767025,0,0,1.089435627345227,0,0,1.9949632079056978,0,0,0,0,0.23372353326847384,0,0
chest_hosp/train/0/CX-0-0056.jpeg_000,1,0.4867221815566414,2,2,0.1318288509129153,5,7,3.6453169354189185e-06,5,7,5,3,0.017596194180706237,5,7
chest_hosp/train/0/CX-0-0056.jpeg_001,0,0.00017540094877144252,3,5,0.508844474722142,0,0,1.9949088128920556,0,0,0,0,0.23917483685812635,0,0
chest_hosp/train/0/CX-0-0057.jpeg_000,1,0.28670907683384605,4,4,0.26392477537767145,5,7,1.587421342230666e-05,5,7,5,3,0.035592086461709416,5,7
chest_hosp/train/0/CX-0-0057.jpeg_001,0,0.03728013953242526,1,3,0.5991885988224321,0,0,1.9952002618361484,0,0,0,0,0.24249303356911,0,0
chest_hosp/train/0/CX-0-0058.jpeg_000,1,0.46350220012753607,1,1,0.2312868172393252,5,7,1.5573553007186547e-06,5,7,5,3,0.052175803902205664,5,7
chest_hosp/train/0/CX-0-0058.jpeg_001,0,0.0010583570927077401,4,6,0.4895679539640805,0,0,1.994814122614022,0,0,0,0,0.2650725272961534,0,0
chest_hosp/train/0/CX-0-0059.jpeg_000,1,1.262171292735191,5,7,0.2151861426408661,5,7,3.0477143031504283e-10,5,7,5,3,0.01985769020601691,5,7
chest_hosp/train/0/CX-0-0059.jpeg_001,0,1.967663733083757,0,0,0.7996991749830675,0,0,1.994635624762139,0,0,0,0,0.23706924934495388,0,0
chest_hosp/train/0/CX-0-0060.jpeg_000,1,1.3729978204651099,5,7,0.32499319738726984,5,7,6.907579143122788e-07,5,7,5,3,0.0492494271957411,5,7
chest_hosp/train/0/CX-0-0060.jpeg_001,0,1.9904887195155696,0,0,1.0547473914801409,0,0,1.9947539944146087,0,0,0,0,0.25047668887754426,0,0
chest_hosp/train/0/CX-0-0061.jpeg_000,1,1.2029488629714393,5,7,0.24264384249958748,5,7,0.00011250319147038113,5,6,5,3,0.0633467296878617,5,7
chest_hosp/train/0/CX-0-0061.jpeg_001,0,1.950516768548606,0,0,0.7029729271871213,0,0,1.9929692143407403,0,1,0,0,0.17900755289083825,0,0
chest_hosp/train/0/CX-0-0062.jpeg_000,1,1.2716304559577927,5,7,0.10648310374853454,5,7,1.0860048696548219e-05,5,7,5,3,0.011498136830883299,5,7
chest_hosp/train/0/CX-0-0062.jpeg_001,0,1.9700929215905583,0,0,0.6877889911451599,0,0,1.9951044654670516,0,0,0,0,0.23628096363733997,0,0
chest_hosp/train/0/CX-0-0063.jpeg_000,1,0.23800334099452003,5,6,0.3042355005661943,5,7,4.104422441730815e-05,5,7,5,3,0.0588473339167388,5,7
chest_hosp/train/0/CX-0-0063.jpeg_001,0,0.05930426615835971,0,1,0.6102419509373251,0,0,1.9936548335820077,0,0,0,0,0.2191562098252191,0,0
chest_hosp/train/0/CX-0-0064.jpeg_000,1,1.3897696324262379,5,7,0.1587332647733084,5,7,3.022737009250598e-06,5,7,5,3,0.02021592616712753,5,7
chest_hosp/train/0/CX-0-0064.jpeg_001,0,1.992821995529443,0,0,0.8805350322075567,0,0,1.9948844595327193,0,0,0,0,0.2389693726063128,0,0
chest_hosp/train/0/CX-0-0065.jpeg_000,1,1.4360213444323406,5,7,0.37196870481322075,5,7,2.0812705415762522e-06,5,7,5,3,0.03444356343750676,5,7
chest_hosp/train/0/CX-0-0065.jpeg_001,0,1.9976137584590323,0,0,1.2312654132011596,0,0,1.994419907686881,0,0,0,0,0.23083707479214932,0,0
chest_hosp/train/0/CX-0-0066.jpeg_000,1,1.3607433339179293,5,7,0.14439896351902504,5,7,8.873245767038185e-07,5,7,5,3,0.015351950108620116,5,7
chest_hosp/train/0/CX-0-0066.jpeg_001,0,1.9885902860357998,0,0,0.9275493402579833,0,0,1.9947700202315723,0,0,0,0,0.24154038852034054,0,0
chest_hosp/train/0/CX-0-0067.jpeg_000,1,0.48804031267182335,2,3,0.21741372659895752,5,7,5.258209058167651e-07,5,7,5,3,0.049212067778169666,5,7
chest_hosp/train/0/CX-0-0067.jpeg_001,0,0.00014782691722370345,3,4,0.43545960529668504,0,0,1.9947386507802918,0,0,0,0,0.21663340731454994,0,0
chest_hosp/train/0/CX-0-0068.jpeg_000,1,1.385052919660755,4,6,0.34466837704857767,5,7,7.694710992367515e-05,4,6,5,3,0.04405418386877347,5,7
chest_hosp/train/0/CX-0-0068.jpeg_001,0,1.992197091819389,1,1,1.001591363500774,0,0,1.9932730324178283,1,1,0,0,0.2152301521186858,0,0
chest_hosp/train/0/CX-0-0069.jpeg_000,1,0.49065162991004085,0,0,0.21868263034419755,3,5,2.377764346472855e-05,5,7,5,3,0.03361270589283627,5,7
chest_hosp/train/0/CX-0-0069.jpeg_001,0,0.00010021752219346869,5,7,0.38302007381012015,2,2,1.993895925038689,0,0,0,0,0.20647166762074076,0,0
chest_hosp/train/0/CX-0-0070.jpeg_000,1,1.3206234814744044,5,7,0.15246138304747991,5,7,5.090316358535851e-06,5,7,5,3,0.015043395615255029,5,7
chest_hosp/train/0/CX-0-0070.jpeg_001,0,1.9812636618773731,0,0,0.7741064113477305,0,0,1.9942978804448364,0,0,0,0,0.23013837968252604,0,0
chest_hosp/train/0/CX-0-0071.jpeg_000,1,1.253375128464792,5,7,0.14731258036615702,5,7,0.00017164790254964313,4,6,5,3,0.06646691241940439,5,7
chest_hosp/train/0/CX-0-0071.jpeg_001,0,1.9653272728212408,0,0,0.7623060714977474,0,0,1.9925453971455651,1,1,0,0,0.17407894433959503,0,0
chest_hosp/train/0/CX-0-0072.jpeg_000,1,1.2881566061939183,5,7,0.15355341158724678,5,7,2.101073774340989e-05,5,7,5,3,0.018400372366290885,5,7
chest_hosp/train/0/CX-0-0072.jpeg_001,0,1.9741275111630818,0,0,0.7756395938994028,0,0,1.9952828718878668,0,0,0,0,0.23753510280671386,0,0
chest_hosp/train/0/CX-0-0073.jpeg_000,1,0.4926086927803641,0,0,0.14249230154761738,5,7,1.2828923963148497e-05,5,7,5,3,0.052457441490177725,5,7
chest_hosp/train/0/CX-0-0073.jpeg_001,0,7.062555138059867e-05,5,7,0.4081924820745626,0,0,1.9940962238122588,0,0,0,0,0.21276503027586458,0,0
chest_hosp/train/0/CX-0-0074.jpeg_000,1,0.4813783751169316,0,1,0.1567858256174961,5,7,1.3033711642962409e-05,5,7,5,3,0.04504610033122902,5,7
chest_hosp/train/0/CX-0-0074.jpeg_001,0,0.00031169070089520634,5,6,0.4253624896451923,0,0,1.9940918537225856,0,0,0,0,0.20488142666746945,0,0
chest_hosp/train/0/CX-0-0075.jpeg_000,1,0.35167475127801306,3,4,0.24442582651707967,5,7,2.0131752187513285e-07,5,7,5,3,0.05543656846533673,5,7
chest_hosp/train/0/CX-0-0075.jpeg_001,0,0.017084526734506555,2,3,0.6365405492316738,0,0,1.994698522723665,0,0,0,0,0.20474719873356895,0,0
chest_hosp/train/0/CX-0-0076.jpeg_000,1,1.3951875225100172,5,7,0.18703971322343982,5,7,1.9731140132539515e-05,5,7,5,3,0.027311278717720766,5,7
chest_hosp/train/0/CX-0-0076.jpeg_001,0,1.9935092849294893,0,0,0.9481083713250928,0,0,1.9952634005329966,0,0,0,0,0.23319050831790422,0,0
chest_hosp/train/0/CX-0-0077.jpeg_000,1,1.3622624577746736,5,7,0.22026022290698632,5,7,4.94838673059661e-06,5,7,5,3,0.012971915692174485,5,7
chest_hosp/train/0/CX-0-0077.jpeg_001,0,1.9888343963335988,0,0,0.9254456198375407,0,0,1.9949536410959903,0,0,0,0,0.23358991062759926,0,0
chest_hosp/train/0/CX-0-0078.jpeg_000,1,0.15547991442073394,4,5,0.1675014999944291,5,7,1.5701222802033676e-05,5,7,5,3,0.01624962736252278,5,7
chest_hosp/train/0/CX-0-0078.jpeg_001,0,1.0448431318808595,1,2,0.6315004923938224,0,0,1.9951972486829082,0,0,0,0,0.2255456818369619,0,0
chest_hosp/train/0/CX-0-0079.jpeg_000,1,1.321343888606681,5,7,0.17605450610958728,5,7,3.3132077068565025e-06,5,7,5,3,0.033055127451895316,5,7
chest_hosp/train/0/CX-0-0079.jpeg_001,0,1.9814099336725497,0,0,0.8806056520685988,0,0,1.994896113368229,0,0,0,0,0.25679236864937827,0,0
chest_hosp/train/0/CX-0-0080.jpeg_000,1,1.2522948830648355,5,7,0.1081068132614239,5,7,6.431933743389351e-07,5,7,5,3,0.012233102677149166,5,7
chest_hosp/train/0/CX-0-0080.jpeg_001,0,1.9650352113603944,0,0,0.7216158014504822,0,0,1.994749780085447,0,0,0,0,0.24150910050926488,0,0
chest_hosp/train/0/CX-0-0081.jpeg_000,1,1.3611044580291138,5,7,0.22056857598722301,5,7,5.48474823246492e-05,5,7,5,3,0.02924125123263377,5,7
